Ticker,Date Bought,Quantity,Price Bought,Sell Price,Profit,Sell Date,Date,Type,Price,Total,Balance After
AAPL,,1.0,,,,,2025-04-10 13:45:13,BUY,191.75,191.75,99408.7505493164
AAPL,,100.0,,,,,2025-04-10 13:45:17,BUY,191.75,19175.0,80233.7505493164
AAPL,,1.0,,,,,2025-04-10 13:45:29,SELL,191.5,191.5,80425.2505493164
SYSTEM,,0.0,,,,,2025-04-10 13:45:38,RESET,0.0,0.0,100000.0
AMZN,,100.0,,,,,2025-04-10 13:46:53,BUY,181.81,18181.0,81819.0
AMZN,,100.0,,,,,2025-04-10 13:47:09,SELL,181.82000732421875,18182.000732421875,100001.00073242188
AAPL,,100.0,,,,,2025-04-10 13:47:22,BUY,190.64,19064.0,80937.00073242188
AAPL,,100.0,,,,,2025-04-10 13:47:47,SELL,190.5,19050.0,99987.00073242188
AAPL,,100.0,,,,,2025-04-10 13:47:54,BUY,190.72,19072.0,80915.00073242188
AAPL,,75.0,,,,,2025-04-10 13:47:59,BUY,190.72,14304.0,66611.00073242188
AAPL,,100.0,,,,,2025-04-10 13:49:35,SELL,190.16000366210935,19016.000366210938,85627.00109863281
SYSTEM,,0.0,,,,,2025-04-10 14:29:56,RESET,0.0,0.0,100000.0
AAPL,,10.0,,,,,2025-04-10 14:30:02,BUY,189.87,1898.7,98101.3
AAPL,,100.0,,,,,2025-04-10 14:30:06,BUY,189.87,18987.0,79114.3
AAPL,,10.0,,,,,2025-04-10 14:30:09,SELL,189.8650054931641,1898.6500549316409,81012.95005493164
SYSTEM,,0.0,,,,,2025-04-10 14:49:11,RESET,0.0,0.0,100000.0
AAPL,,10.0,,,,,2025-04-10 14:49:20,BUY,188.69,1886.9,98113.1
AAPL,,50.0,,,,,2025-04-10 14:49:24,BUY,188.69,9434.5,88678.6
AAPL,,10.0,,,,,2025-04-10 14:50:28,SELL,190.05099487304688,1900.5099487304688,90579.10994873047
SYSTEM,,0.0,,,,,2025-04-10 14:53:35,RESET,0.0,0.0,100000.0
AAPL,,10.0,,,,,2025-04-10 14:55:53,BUY,191.0,1910.0,98090.0
AAPL,,50.0,,,,,2025-04-10 14:55:58,BUY,191.0,9550.0,88540.0
AAPL,,10.0,,,,,2025-04-10 14:56:11,SELL,191.06500244140625,1910.6500244140625,90450.65002441406
SYSTEM,,0.0,,,,,2025-04-10 15:00:35,RESET,0.0,0.0,100000.0
AAPL,,10.0,,,,,2025-04-10 15:00:45,BUY,190.44,1904.4,98095.6
AAPL,,100.0,,,,,2025-04-10 15:00:49,BUY,190.44,19044.0,79051.6
AAPL,,10.0,,,,,2025-04-10 15:00:55,SELL,190.44000244140625,1904.4000244140625,80956.00002441407
AMZN,,10.0,,,,,2025-04-10 15:02:37,BUY,181.04,1810.4,79145.60002441407
AAPL,,100.0,,,,,2025-04-10 15:02:45,BUY,190.44,19044.0,60101.600024414074
AMZN,,10.0,,,,,2025-04-10 15:02:48,SELL,181.0399932861328,1810.399932861328,61911.9999572754
AAPL,,100.0,,,,,2025-04-10 15:02:52,SELL,190.44000244140625,19044.000244140625,80956.00020141603
MAYS,,100.0,,,,,2025-04-10 15:05:34,BUY,38.0,3800.0,77156.00020141603
MAYS,,100.0,,,,,2025-04-10 15:05:38,SELL,38.0,3800.0,80956.00020141603
SYSTEM,,0.0,,,,,2025-04-10 23:29:17,RESET,0.0,0.0,100000.0
AMZN,,25.0,,,,,2025-04-10 23:29:30,BUY,181.04,4526.0,95474.0
AMZN,,50.0,,,,,2025-04-10 23:29:45,BUY,181.04,9052.0,86422.0
AMZN,,25.0,,,,,2025-04-10 23:30:36,SELL,181.0399932861328,4525.99983215332,90947.99983215332
SYSTEM,,0.0,,,,,2025-04-10 23:30:39,RESET,0.0,0.0,100000.0
AAPL,,100.0,,,,,2025-04-10 23:32:42,BUY,190.44,19044.0,80956.0
AAPL,,50.0,,,,,2025-04-10 23:32:45,BUY,190.44,9522.0,71434.0
AAPL,,100.0,,,,,2025-04-10 23:32:47,SELL,190.44000244140625,19044.000244140625,90478.00024414062
SYSTEM,,0.0,,,,,2025-04-10 23:41:21,RESET,0.0,0.0,100000.0
AAPL,,100.0,,,,,2025-04-10 23:41:37,BUY,190.44,19044.0,80956.0
AAPL,,10.0,,,,,2025-04-10 23:41:41,BUY,190.44,1904.4,79051.6
AAPL,,100.0,,,,,2025-04-10 23:43:15,SELL,190.44000244140625,19044.000244140625,98095.60024414065
SYSTEM,,0.0,,,,,2025-04-10 23:43:24,RESET,0.0,0.0,100000.0
AAPL,,100.0,,,,,2025-04-10 23:47:58,BUY,190.44,19044.0,80956.0
AAPL,,50.0,,,,,2025-04-10 23:48:23,BUY,190.44,9522.0,71434.0
AAPL,,50.0,,,,,2025-04-10 23:52:05,SELL,190.44000244140625,9522.000122070312,80956.00012207031
AAPL,,100.0,,,,,2025-04-10 23:52:08,SELL,190.44000244140625,19044.000244140625,100000.00036621094
AMZN,,100.0,,,,,2025-04-10 23:52:21,BUY,181.04,18104.0,81896.00036621094
AMZN,,30.0,,,,,2025-04-10 23:52:24,BUY,181.04,5431.2,76464.80036621094
AAPL,,50.0,,,,,2025-04-10 23:52:47,BUY,190.44,9522.0,66942.80036621094
AAPL,,75.0,,,,,2025-04-10 23:52:55,BUY,190.44,14283.0,52659.80036621094
MAYS,,1000.0,,,,,2025-04-10 23:53:18,BUY,38.0,38000.0,14659.80036621094
MAYS,,1000.0,,,,,2025-04-10 23:54:33,SELL,38.0,38000.0,52659.80036621094
AAPL,,75.0,,,,,2025-04-10 23:54:37,SELL,190.44000244140625,14283.000183105469,66942.80054931641
AMZN,,100.0,,,,,2025-04-10 23:54:41,SELL,181.0399932861328,18103.99932861328,85046.79987792969
AMZN,,30.0,,,,,2025-04-10 23:54:44,SELL,181.0399932861328,5431.199798583984,90477.99967651367
AAPL,,50.0,,,,,2025-04-10 23:54:46,SELL,190.44000244140625,9522.000122070312,99999.99979858399
